 # UF4                                                              FEFF 10.0.0
 # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.584 Rnm= 1.704 L3 shell
 # Pot 1 Z=92 Rmt= 1.587 Rnm= 1.712
 # Pot 2 Z= 9 Rmt= 1.025 Rnm= 1.111
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu= 2.153E+00eV kf=2.081E+00 Vint=-1.434E+01eV Rs_int= 1.743
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   25      icalc       2
 -----------------------------------------------------------------------
   3   2.000   4.3774    2.3924    2.15291 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -0.4821    1.9168   -1.0856  2   9 F     
    -0.0475   -1.1274    1.9025  2   9 F     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.5788E+01  0.0000E+00 -1.7964E+01  9.470E-01  3.9416E+00  2.0960E+00
  0.100  1.5787E+01  2.0647E-02 -1.8822E+01  9.488E-01  3.9458E+00  2.0982E+00
  0.200  1.5786E+01  4.1012E-02 -1.9645E+01  9.540E-01  3.9584E+00  2.1050E+00
  0.300  1.5784E+01  6.0831E-02 -2.0433E+01  9.625E-01  3.9791E+00  2.1162E+00
  0.400  1.5781E+01  7.9877E-02 -2.1188E+01  9.738E-01  4.0075E+00  2.1318E+00
  0.500  1.5777E+01  9.7976E-02 -2.1909E+01  9.875E-01  4.0429E+00  2.1516E+00
  0.600  1.5770E+01  1.1501E-01 -2.2597E+01  1.003E+00  4.0847E+00  2.1758E+00
  0.700  1.5762E+01  1.3090E-01 -2.3252E+01  1.020E+00  4.1318E+00  2.2040E+00
  0.800  1.5752E+01  1.4565E-01 -2.3877E+01  1.037E+00  4.1835E+00  2.2362E+00
  0.900  1.5738E+01  1.5932E-01 -2.4471E+01  1.054E+00  4.2385E+00  2.2722E+00
  1.000  1.5722E+01  1.7190E-01 -2.5035E+01  1.071E+00  4.2958E+00  2.3120E+00
  1.100  1.5702E+01  1.8352E-01 -2.5571E+01  1.087E+00  4.3542E+00  2.3554E+00
  1.200  1.5678E+01  1.9427E-01 -2.6077E+01  1.103E+00  4.4126E+00  2.4023E+00
  1.300  1.5650E+01  2.0423E-01 -2.6556E+01  1.117E+00  4.4700E+00  2.4527E+00
  1.400  1.5618E+01  2.1350E-01 -2.7007E+01  1.129E+00  4.5254E+00  2.5064E+00
  1.500  1.5582E+01  2.2214E-01 -2.7430E+01  1.141E+00  4.5782E+00  2.5633E+00
  1.600  1.5541E+01  2.3019E-01 -2.7826E+01  1.150E+00  4.6279E+00  2.6235E+00
  1.700  1.5496E+01  2.3769E-01 -2.8195E+01  1.159E+00  4.6743E+00  2.6868E+00
  1.800  1.5446E+01  2.4460E-01 -2.8536E+01  1.166E+00  4.7178E+00  2.7534E+00
  1.900  1.5391E+01  2.5087E-01 -2.8850E+01  1.171E+00  4.7589E+00  2.8232E+00
  2.000  1.5332E+01  2.5641E-01 -2.9136E+01  1.175E+00  4.7991E+00  2.8962E+00
  2.200  1.5201E+01  2.6462E-01 -2.9622E+01  1.178E+00  4.8846E+00  3.0524E+00
  2.400  1.5034E+01  2.6068E-01 -2.9941E+01  1.169E+00  5.0043E+00  3.2301E+00
  2.600  1.4853E+01  2.9783E-01 -3.0244E+01  1.286E+00  4.1518E+00  3.4173E+00
  2.800  1.4799E+01  3.2910E-01 -3.0767E+01  1.365E+00  3.7636E+00  3.5553E+00
  3.000  1.4766E+01  3.4655E-01 -3.1284E+01  1.397E+00  3.5986E+00  3.6893E+00
  3.200  1.4718E+01  3.4950E-01 -3.1740E+01  1.410E+00  3.5351E+00  3.8334E+00
  3.400  1.4665E+01  3.3952E-01 -3.2151E+01  1.408E+00  3.5317E+00  3.9831E+00
  3.600  1.4606E+01  3.2031E-01 -3.2525E+01  1.399E+00  3.5671E+00  4.1380E+00
  3.800  1.4539E+01  2.9498E-01 -3.2870E+01  1.384E+00  3.6301E+00  4.2975E+00
  4.000  1.4464E+01  2.6613E-01 -3.3186E+01  1.367E+00  3.7137E+00  4.4612E+00
  4.200  1.4381E+01  2.3655E-01 -3.3482E+01  1.349E+00  3.8136E+00  4.6285E+00
  4.400  1.4289E+01  2.0761E-01 -3.3759E+01  1.326E+00  3.9267E+00  4.7992E+00
  4.600  1.4188E+01  1.8064E-01 -3.4020E+01  1.304E+00  4.0509E+00  4.9728E+00
  4.800  1.4080E+01  1.5662E-01 -3.4267E+01  1.277E+00  4.1845E+00  5.1490E+00
  5.000  1.3966E+01  1.3521E-01 -3.4501E+01  1.252E+00  4.3263E+00  5.3274E+00
  5.200  1.3848E+01  1.1684E-01 -3.4723E+01  1.223E+00  4.4754E+00  5.5079E+00
  5.400  1.3728E+01  1.0095E-01 -3.4932E+01  1.197E+00  4.6308E+00  5.6902E+00
  5.600  1.3609E+01  8.7378E-02 -3.5131E+01  1.172E+00  4.7921E+00  5.8741E+00
  5.800  1.3492E+01  7.5687E-02 -3.5319E+01  1.149E+00  4.9586E+00  6.0595E+00
  6.000  1.3376E+01  6.5584E-02 -3.5495E+01  1.128E+00  5.1300E+00  6.2460E+00
  6.500  1.3098E+01  4.5781E-02 -3.5909E+01  1.089E+00  5.5770E+00  6.7171E+00
  7.000  1.2828E+01  3.2012E-02 -3.6294E+01  1.064E+00  6.0472E+00  7.1936E+00
  7.500  1.2544E+01  2.2778E-02 -3.6673E+01  1.045E+00  6.5373E+00  7.6741E+00
  8.000  1.2269E+01  1.6685E-02 -3.7043E+01  1.027E+00  7.0448E+00  8.1578E+00
  8.500  1.2006E+01  1.2586E-02 -3.7391E+01  1.010E+00  7.5677E+00  8.6441E+00
  9.000  1.1760E+01  9.6476E-03 -3.7708E+01  9.964E-01  8.1047E+00  9.1323E+00
  9.500  1.1525E+01  7.4503E-03 -3.7999E+01  9.867E-01  8.6543E+00  9.6222E+00
 10.000  1.1292E+01  5.8096E-03 -3.8278E+01  9.784E-01  9.2157E+00  1.0113E+01
 11.000  1.0839E+01  3.7636E-03 -3.8829E+01  9.603E-01  1.0370E+01  1.1099E+01
 12.000  1.0422E+01  2.5529E-03 -3.9309E+01  9.481E-01  1.1562E+01  1.2088E+01
 13.000  1.0024E+01  1.7220E-03 -3.9728E+01  9.404E-01  1.2788E+01  1.3078E+01
 14.000  9.6514E+00  1.2326E-03 -4.0143E+01  9.346E-01  1.4043E+01  1.4071E+01
 15.000  9.3017E+00  8.7218E-04 -4.0514E+01  9.319E-01  1.5326E+01  1.5065E+01
 16.000  8.9713E+00  5.6308E-04 -4.0836E+01  9.297E-01  1.6633E+01  1.6059E+01
 17.000  8.6609E+00  3.4855E-04 -4.1084E+01  9.290E-01  1.7963E+01  1.7055E+01
 18.000  8.3653E+00  2.0676E-04 -4.1159E+01  9.288E-01  1.9314E+01  1.8051E+01
 19.000  8.0874E+00  1.2558E-04 -4.1025E+01  9.292E-01  2.0684E+01  1.9047E+01
 20.000  7.8234E+00  1.0479E-04 -4.0773E+01  9.295E-01  2.2072E+01  2.0045E+01
